benchmark,run,result
armstrong,baseline,133
armstrong,dce_global,130
armstrong,dce_all,130
armstrong,dce_with_lvn,130
fact,baseline,229
fact,dce_global,228
fact,dce_all,228
fact,dce_with_lvn,228
ackermann,baseline,1464231
ackermann,dce_global,1464231
ackermann,dce_all,1464231
ackermann,dce_with_lvn,1464231
sum-check,baseline,5018
sum-check,dce_global,5018
sum-check,dce_all,5018
sum-check,dce_with_lvn,5018
quadratic,baseline,785
quadratic,dce_global,783
quadratic,dce_all,783
quadratic,dce_with_lvn,783
collatz,baseline,169
collatz,dce_global,169
collatz,dce_all,169
collatz,dce_with_lvn,169
check-primes,baseline,8468
check-primes,dce_global,8419
check-primes,dce_all,8419
check-primes,dce_with_lvn,8419
perfect,baseline,232
perfect,dce_global,232
perfect,dce_all,232
perfect,dce_with_lvn,232
sum-divisors,baseline,159
sum-divisors,dce_global,159
sum-divisors,dce_all,159
sum-divisors,dce_with_lvn,159
fitsinside,baseline,10
fitsinside,dce_global,10
fitsinside,dce_all,10
fitsinside,dce_with_lvn,10
catalan,baseline,659378
catalan,dce_global,659378
catalan,dce_all,659378
catalan,dce_with_lvn,659378
up-arrow,baseline,252
up-arrow,dce_global,252
up-arrow,dce_all,252
up-arrow,dce_with_lvn,252
palindrome,baseline,298
palindrome,dce_global,298
palindrome,dce_all,298
palindrome,dce_with_lvn,298
gcd,baseline,46
gcd,dce_global,46
gcd,dce_all,46
gcd,dce_with_lvn,46
binary-fmt,baseline,100
binary-fmt,dce_global,100
binary-fmt,dce_all,100
binary-fmt,dce_with_lvn,100
pythagorean_triple,baseline,61518
pythagorean_triple,dce_global,61518
pythagorean_triple,dce_all,61518
pythagorean_triple,dce_with_lvn,61518
primes-between,baseline,574100
primes-between,dce_global,574100
primes-between,dce_all,574100
primes-between,dce_with_lvn,571439
lcm,baseline,2326
lcm,dce_global,2326
lcm,dce_all,2326
lcm,dce_with_lvn,2326
reverse,baseline,46
reverse,dce_global,46
reverse,dce_all,46
reverse,dce_with_lvn,46
is-decreasing,baseline,127
is-decreasing,dce_global,127
is-decreasing,dce_all,127
is-decreasing,dce_with_lvn,125
digital-root,baseline,247
digital-root,dce_global,247
digital-root,dce_all,247
digital-root,dce_with_lvn,247
totient,baseline,253
totient,dce_global,253
totient,dce_all,253
totient,dce_with_lvn,253
relative-primes,baseline,1923
relative-primes,dce_global,1914
relative-primes,dce_all,1914
relative-primes,dce_with_lvn,1914
sum-bits,baseline,73
sum-bits,dce_global,73
sum-bits,dce_all,73
sum-bits,dce_with_lvn,73
orders,baseline,5352
orders,dce_global,5352
orders,dce_all,5352
orders,dce_with_lvn,5352
hanoi,baseline,99
hanoi,dce_global,99
hanoi,dce_all,99
hanoi,dce_with_lvn,99
loopfact,baseline,116
loopfact,dce_global,115
loopfact,dce_all,115
loopfact,dce_with_lvn,115
sum-sq-diff,baseline,3038
sum-sq-diff,dce_global,3036
sum-sq-diff,dce_all,3036
sum-sq-diff,dce_with_lvn,3036
factors,baseline,72
factors,dce_global,72
factors,dce_all,72
factors,dce_with_lvn,72
birthday,baseline,484
birthday,dce_global,483
birthday,dce_all,483
birthday,dce_with_lvn,483
recfact,baseline,104
recfact,dce_global,103
recfact,dce_all,103
recfact,dce_with_lvn,103
bitwise-ops,baseline,1690
bitwise-ops,dce_global,1689
bitwise-ops,dce_all,1689
bitwise-ops,dce_with_lvn,1689
pascals-row,baseline,146
pascals-row,dce_global,139
pascals-row,dce_all,139
pascals-row,dce_with_lvn,139
bitshift,baseline,167
bitshift,dce_global,167
bitshift,dce_all,167
bitshift,dce_with_lvn,167
fizz-buzz,baseline,3652
fizz-buzz,dce_global,3552
fizz-buzz,dce_all,3552
fizz-buzz,dce_with_lvn,3458
mod_inv,baseline,558
mod_inv,dce_global,555
mod_inv,dce_all,555
mod_inv,dce_with_lvn,555
rectangles-area-difference,baseline,14
rectangles-area-difference,dce_global,14
rectangles-area-difference,dce_all,14
rectangles-area-difference,dce_with_lvn,14
euclid,baseline,563
euclid,dce_global,562
euclid,dce_all,562
euclid,dce_with_lvn,562
