benchmark,run,result
armstrong,baseline,133
armstrong,lvn,133
armstrong,lvn_commutative,133
armstrong,lvn_constant_folding,133
armstrong,lvn_algebraic_identity,133
armstrong,lvn_all,133
fact,baseline,229
fact,lvn,229
fact,lvn_commutative,229
fact,lvn_constant_folding,229
fact,lvn_algebraic_identity,229
fact,lvn_all,229
ackermann,baseline,1464231
ackermann,lvn,1464231
ackermann,lvn_commutative,1464231
ackermann,lvn_constant_folding,1464231
ackermann,lvn_algebraic_identity,1464231
ackermann,lvn_all,1464231
sum-check,baseline,5018
sum-check,lvn,5018
sum-check,lvn_commutative,5018
sum-check,lvn_constant_folding,5018
sum-check,lvn_algebraic_identity,5018
sum-check,lvn_all,5018
quadratic,baseline,785
quadratic,lvn,785
quadratic,lvn_commutative,785
quadratic,lvn_constant_folding,785
quadratic,lvn_algebraic_identity,785
quadratic,lvn_all,785
collatz,baseline,169
collatz,lvn,169
collatz,lvn_commutative,169
collatz,lvn_constant_folding,169
collatz,lvn_algebraic_identity,169
collatz,lvn_all,169
check-primes,baseline,8468
check-primes,lvn,8468
check-primes,lvn_commutative,8468
check-primes,lvn_constant_folding,8468
check-primes,lvn_algebraic_identity,8468
check-primes,lvn_all,8468
perfect,baseline,232
perfect,lvn,232
perfect,lvn_commutative,232
perfect,lvn_constant_folding,232
perfect,lvn_algebraic_identity,232
perfect,lvn_all,232
sum-divisors,baseline,159
sum-divisors,lvn,159
sum-divisors,lvn_commutative,159
sum-divisors,lvn_constant_folding,159
sum-divisors,lvn_algebraic_identity,159
sum-divisors,lvn_all,159
fitsinside,baseline,10
fitsinside,lvn,10
fitsinside,lvn_commutative,10
fitsinside,lvn_constant_folding,10
fitsinside,lvn_algebraic_identity,10
fitsinside,lvn_all,10
catalan,baseline,659378
catalan,lvn,659378
catalan,lvn_commutative,659378
catalan,lvn_constant_folding,659378
catalan,lvn_algebraic_identity,659378
catalan,lvn_all,659378
up-arrow,baseline,252
up-arrow,lvn,252
up-arrow,lvn_commutative,252
up-arrow,lvn_constant_folding,252
up-arrow,lvn_algebraic_identity,252
up-arrow,lvn_all,252
palindrome,baseline,298
palindrome,lvn,298
palindrome,lvn_commutative,298
palindrome,lvn_constant_folding,298
palindrome,lvn_algebraic_identity,298
palindrome,lvn_all,298
gcd,baseline,46
gcd,lvn,46
gcd,lvn_commutative,46
gcd,lvn_constant_folding,46
gcd,lvn_algebraic_identity,46
gcd,lvn_all,46
binary-fmt,baseline,100
binary-fmt,lvn,100
binary-fmt,lvn_commutative,100
binary-fmt,lvn_constant_folding,100
binary-fmt,lvn_algebraic_identity,100
binary-fmt,lvn_all,100
pythagorean_triple,baseline,61518
pythagorean_triple,lvn,61518
pythagorean_triple,lvn_commutative,61518
pythagorean_triple,lvn_constant_folding,61518
pythagorean_triple,lvn_algebraic_identity,61518
pythagorean_triple,lvn_all,61518
primes-between,baseline,574100
primes-between,lvn,574100
primes-between,lvn_commutative,574100
primes-between,lvn_constant_folding,574100
primes-between,lvn_algebraic_identity,574100
primes-between,lvn_all,574100
lcm,baseline,2326
lcm,lvn,2326
lcm,lvn_commutative,2326
lcm,lvn_constant_folding,2326
lcm,lvn_algebraic_identity,2326
lcm,lvn_all,2326
reverse,baseline,46
reverse,lvn,46
reverse,lvn_commutative,46
reverse,lvn_constant_folding,46
reverse,lvn_algebraic_identity,46
reverse,lvn_all,46
is-decreasing,baseline,127
is-decreasing,lvn,127
is-decreasing,lvn_commutative,127
is-decreasing,lvn_constant_folding,127
is-decreasing,lvn_algebraic_identity,127
is-decreasing,lvn_all,127
digital-root,baseline,247
digital-root,lvn,247
digital-root,lvn_commutative,247
digital-root,lvn_constant_folding,247
digital-root,lvn_algebraic_identity,247
digital-root,lvn_all,247
totient,baseline,253
totient,lvn,253
totient,lvn_commutative,253
totient,lvn_constant_folding,253
totient,lvn_algebraic_identity,253
totient,lvn_all,253
relative-primes,baseline,1923
relative-primes,lvn,1923
relative-primes,lvn_commutative,1923
relative-primes,lvn_constant_folding,1923
relative-primes,lvn_algebraic_identity,1923
relative-primes,lvn_all,1923
sum-bits,baseline,73
sum-bits,lvn,73
sum-bits,lvn_commutative,73
sum-bits,lvn_constant_folding,73
sum-bits,lvn_algebraic_identity,73
sum-bits,lvn_all,73
orders,baseline,5352
orders,lvn,5352
orders,lvn_commutative,5352
orders,lvn_constant_folding,5352
orders,lvn_algebraic_identity,5352
orders,lvn_all,5352
hanoi,baseline,99
hanoi,lvn,99
hanoi,lvn_commutative,99
hanoi,lvn_constant_folding,99
